cod_produto,num_edicao,cod_cota_hvct,QTDE_REPARTE_HVCT,qtde_encalhe_hvct
15188009,1161,2,2,0
15199001,292,2,5,0
15204001,122,2,5,0
15209001,137,2,2,0
15209001,138,2,3,0
15215001,189,2,2,0
15229001,531,2,4,0
15229001,532,2,4,0
15254001,1377,2,12,0
15333001,117,2,14,0
15559001,760,2,30,0
15559001,761,2,25,0
15578001,47,2,2,0
15588001,171,2,1,0
15749001,145,2,2,0
15749001,146,2,2,0
15831001,51,2,10,0
15831001,52,2,10,0
15844001,11,2,1,0
15864001,113,2,15,0
15864001,114,2,18,0
15973001,1301,2,12,0
15981001,1303,2,2,0
15998001,101,2,3,0
16038001,42,2,8,0
16038001,43,2,8,0
16054001,84,2,2,0
16055001,113,2,2,0
16099001,18,2,2,0
16112001,236,2,6,0
16112001,237,2,6,0
16189001,22,2,5,0
16206001,111,2,9,0
16514001,67,2,4,0
16534001,562,2,15,0
16534001,563,2,15,0
16553001,107,2,7,0
16611001,22,2,4,0
16625001,12,2,3,0
16965001,93,2,4,0
17259001,453,2,2,0
17454001,243,2,7,0
17664001,28,2,6,0
17801001,3,2,5,0
17896001,1002,2,3,0
18019001,37,2,6,0
18021001,23,2,6,0
18022001,43,2,3,0
18022001,44,2,3,0
18023001,95,2,6,0
18024001,98,2,1,0
18025001,34,2,5,0
18025001,35,2,5,0
18033001,98,2,2,0
18033001,99,2,2,0
18037001,97,2,3,0
18038001,22,2,4,0
18072012,14,2,1,0
18082001,2903,2,3,0
18082001,3002,2,2,0
18082002,2301,2,2,0
18082003,1903,2,1,0
18082003,2003,2,3,0
18205001,220,2,4,0
18218001,1301,2,5,0
18237001,32,2,5,0
18267001,60,2,4,0
18267001,61,2,4,0
18295001,15,2,8,0
18343001,7,2,6,0
18444001,47,2,3,0
18468001,98,2,12,0
18468001,99,2,12,0
18508001,36,2,13,0
18508001,37,2,15,0
18514001,30,2,5,0
18515001,39,2,7,0
18534001,95,2,3,0
18536001,173,2,4,0
18566001,97,2,3,0
18651001,17,2,35,0
18688001,9,2,2,0
18703001,1403,2,2,0
18792001,47,2,1,0
18823001,5,2,5,0
18954001,36,2,8,0
19024001,603,2,3,0
19028001,802,2,1,0
19041027,20,2,5,0
19092001,28,2,5,0
19112011,28,2,4,0
19167001,603,2,2,0
19171001,50,2,2,0
19174001,90,2,12,0
19204001,27,2,6,0
19213001,8,2,3,0
19278001,44,2,12,0
19358001,24,2,10,0
19358011,22,2,2,0
19359001,36,2,3,0
19432001,23,2,6,0
19433090,602,2,1,0
19521001,17,2,6,0
19637001,84,2,12,0
19665001,73,2,8,0
19665001,74,2,12,0
19688001,1301,2,2,0
19689001,4,2,2,0
19705001,59,2,4,0
19762001,188,2,2,0
19851001,30,2,3,0
19995001,33,2,2,0
20011001,401,2,5,0
20077001,62,2,3,0
20098001,618,2,2,0
20142001,36,2,2,0
20406001,39,2,15,0
20503042,9,2,2,0
20515001,605,2,3,0
20614001,517,2,4,0
20625099,86,2,7,0
20625099,87,2,7,0
20628001,333,2,15,0
20628001,334,2,15,0
20631001,4,2,2,0
20707001,19,2,6,0
20833001,36,2,2,0
20978001,9,2,10,0
21171001,188,2,5,0
21321012,14,2,2,0
21324001,71,2,5,0
21330042,5,2,3,0
21345001,88,2,2,0
21352001,79,2,25,0
21370001,31,2,2,0
21405001,14,2,7,0
21586071,5,2,7,0
21621001,7,2,22,0
21643001,80,2,2,0
21667001,304,2,1,0
21693001,605,2,4,0
21795001,19,2,2,0
21795002,15,2,1,0
21819001,328,2,24,0
21820001,314,2,7,0
21820001,315,2,10,0
21855043,6,2,1,0
21934001,34,2,4,0
21938001,2,2,4,0
21945001,17,2,2,0
22002001,32,2,5,0
22003042,11,2,1,0
22023001,73,2,3,0
22051001,71,2,5,0
22095001,884,2,2,0
22197001,135,2,13,0
22197001,136,2,12,0
22228001,34,2,6,0
22284042,9,2,6,0
22293042,12,2,5,0
22338001,6,2,7,0
22354001,291,2,4,0
22377001,9,2,6,0
22476001,90,2,8,0
22477001,191,2,4,0
22488001,67,2,2,0
22488001,68,2,2,0
22497001,1303,2,10,0
22544001,603,2,15,0
22595043,2,2,1,0
22599001,32,2,2,0
22599001,33,2,2,0
22613001,260,2,2,0
22613001,266,2,3,0
22618001,67,2,16,0
22654001,36,2,10,0
22664001,61,2,15,0
22673001,4,2,2,0
22673001,5,2,2,0
22678001,1302,2,30,0
22695001,9,2,4,0
22695042,3,2,4,0
22702001,3,2,2,0
22712001,33,2,1,0
22866001,33,2,3,0
22866002,30,2,2,0
22869001,32,2,1,0
22874001,22,2,1,0
22893002,3,2,2,0
22941001,92,2,2,0
22982001,25,2,4,0
23018001,29,2,2,0
23018001,30,2,3,0
23032001,2501,2,8,0
23033001,64,2,9,0
23207001,63,2,8,0
23207001,64,2,8,0
23208001,63,2,10,0
23211001,63,2,6,0
23233001,301,2,2,0
23316001,7,2,6,0
23391001,321,2,5,0
23443001,24,2,5,0
23451001,31,2,2,0
23567001,48,2,12,0
23607004,61,2,1,0
23624001,14,2,2,0
23685001,6,2,20,0
23736042,2,2,1,0
23802001,127,2,1,0
23832001,9103,2,2,0
23832001,9104,2,2,0
23887001,57,2,2,0
23905001,1601,2,7,0
23906001,26,2,7,0
23906001,2501,2,8,0
23907001,1601,2,4,0
23908001,601,2,6,0
23909001,801,2,4,0
23911001,26,2,11,0
23911001,2501,2,8,0
23928043,5,2,5,0
24024001,3,2,3,0
24079001,27,2,8,0
24121001,28,2,3,0
24129001,243,2,2,0
24152001,202,2,2,0
24198001,3,2,3,0
24239001,501,2,10,0
24357001,16,2,3,0
24383001,25,2,7,0
24395001,25,2,5,0
24433001,3,2,2,0
24478001,22,2,1,0
24577001,54,2,6,0
24662001,48,2,20,0
24662001,49,2,25,0
24664001,54,2,4,0
24687001,11,2,7,0
24724001,1501,2,8,0
24739001,24,2,5,0
24764001,16,2,7,0
24918001,10,2,7,0
25205001,19,2,10,0
25205001,20,2,8,0
25318001,18,2,6,0
25322001,5,2,6,0
25335001,1301,2,17,0
25399001,23,2,5,0
25431001,14,2,2,0
25605001,12,2,5,0
25661001,4,2,3,0
25728001,47,2,6,0
25826001,24,2,6,0
25931001,24,2,7,0
25955001,58,2,4,0
25955001,60,2,3,0
25993001,9,2,1,0
26020001,44,2,2,0
26098001,15,2,5,0
26098002,12,2,2,0
26103001,2,2,2,0
26130001,295,2,1,0
26130001,296,2,1,0
26161001,44,2,2,0
26181001,179,2,11,0
26218001,16,2,2,0
26289001,1003,2,2,0
26362001,42,2,16,0
26362001,43,2,16,0
26386001,21,2,2,0
26549001,44,2,8,0
26564001,10,2,6,0
26607001,10,2,5,0
26676001,162,2,6,0
26676001,163,2,6,0
26798001,303,2,13,0
26813001,3902,2,2,0
26858001,17,2,3,0
26954001,33,2,12,0
27037012,30,2,3,0
27046001,14,2,12,0
27075001,1204,2,8,0
27078001,38,2,3,0
27164001,16,2,2,0
